po_number,project_code,issue_date,currency,exchange_rate,local_import
2405023  - 10000052,,2024-05-24,USD,1.0,local
10000121,,2024-08-08,USD,1.0,local
10000146,,2024-08-21,USD,1.0,local
10000212,,2024-10-15,USD,1.0,local
10000221,,2024-10-22,USD,1.0,local
10000223,,2024-10-22,USD,1.0,local
10000225,,2024-10-22,USD,1.0,local
10000229,,2024-10-24,USD,1.0,local
10000242,,2024-10-31,USD,1.0,local
10000247,,2024-10-31,USD,1.0,local
10000250,,2024-11-04,USD,1.0,local
10000251,,2024-11-04,USD,1.0,local
10000252,,2024-11-04,USD,1.0,local
10000253,,2024-11-04,USD,1.0,local
10000254,,2024-11-05,USD,1.0,local
10000255,,2024-11-05,USD,1.0,local
10000256,,2024-11-06,USD,1.0,local
10000258,,2024-11-06,USD,1.0,local
10000265,,2024-11-08,USD,1.0,local
10000269,,2024-11-09,USD,1.0,local
10000270,,2024-11-09,USD,1.0,local
10000271,,2024-11-09,USD,1.0,local
10000273,,2024-11-09,USD,1.0,local
10000274,,2024-11-11,USD,1.0,local
10000275,,2024-11-11,USD,1.0,local
10000279,,2024-11-11,USD,1.0,local
10000292,,2024-11-14,USD,1.0,local
10000297,,2024-11-18,USD,1.0,local
10000298,,2024-11-18,USD,1.0,local
10000311,,2024-11-21,USD,1.0,local
10000312,,2024-11-21,USD,1.0,local
10000318,,2024-11-27,USD,1.0,local
10000319,,2024-11-28,USD,1.0,local
10000333,,2024-12-04,USD,1.0,local
10000347,,2024-12-07,USD,1.0,local
10000348,,2024-12-14,USD,1.0,local
10000363,,2024-12-17,USD,1.0,local
10000364,,2024-12-17,USD,1.0,local
10000365,,2024-12-17,USD,1.0,local
10000366,,2024-12-17,USD,1.0,local
10000370,,2024-12-17,USD,1.0,local
10000371,,2024-12-17,USD,1.0,local
10000386,,2024-12-26,USD,1.0,local
10000387,,2024-12-28,USD,1.0,local
10000389,,2025-01-03,USD,1.0,local
10000390,,2025-01-03,USD,1.0,local
10000391,,2025-01-03,USD,1.0,local
10000392,,2025-01-03,USD,1.0,local
10000393,,2025-01-06,USD,1.0,local
10000394,,2025-01-07,USD,1.0,local
10000395,,2025-01-07,USD,1.0,local
10000396,,2025-01-07,USD,1.0,local
10000397,,2025-01-07,USD,1.0,local
10000398,,2025-01-09,USD,1.0,local
10000399,,2025-01-09,USD,1.0,local
10000400,,2025-01-10,USD,1.0,local
10000401,,2025-01-10,USD,1.0,local
10000402,,2025-01-14,USD,1.0,local
10000403,,2025-01-14,USD,1.0,local
10000404,,2025-01-14,USD,1.0,local
10000405,,2025-01-14,USD,1.0,local
10000406,,2025-01-14,USD,1.0,local
10000407,,2025-01-14,USD,1.0,local
10000408,,2025-01-15,USD,1.0,local
10000409,,2025-01-16,USD,1.0,local
10000410,,2025-01-16,USD,1.0,local
10000411,,2025-01-16,USD,1.0,local
10000412,,2025-01-16,USD,1.0,local
10000413,,2025-01-16,USD,1.0,local
10000414,,2025-01-16,USD,1.0,local
10000415,,2025-01-16,USD,1.0,local
10000416,,2025-01-16,USD,1.0,local
10000417,,2025-01-16,USD,1.0,local
10000418,,2025-01-17,USD,1.0,local
10000419,,2025-01-17,USD,1.0,local
10000420,,2025-01-17,USD,1.0,local
10000421,,2025-01-20,USD,1.0,local
10000422,,2025-01-20,USD,1.0,local
10000423,,2025-01-20,USD,1.0,local
10000424,,2025-01-20,USD,1.0,local
10000425,,2025-01-22,USD,1.0,local
10000426,,2025-01-22,USD,1.0,local
10000427,,2025-01-22,USD,1.0,local
10000428,,2025-01-22,USD,1.0,local
10000429,,2025-01-24,USD,1.0,local
10000430,,2025-01-24,USD,1.0,local
10000431,,2025-01-24,USD,1.0,local
10000432,,2025-01-24,USD,1.0,local
10000433,,2025-01-27,USD,1.0,local
10000434,,2025-01-27,USD,1.0,local
10000435,,2025-01-27,USD,1.0,local
10000436,,2025-01-27,USD,1.0,local
10000437,,2025-01-27,USD,1.0,local
10000438,,2025-01-27,USD,1.0,local
10000439,,2025-01-27,USD,1.0,local
10000440,,2025-01-27,USD,1.0,local
10000441,,2025-01-27,USD,1.0,local
10000442,,2025-01-27,USD,1.0,local
10000443,,2025-01-28,USD,1.0,local
10000444,,2025-01-28,USD,1.0,local
10000445,,2025-01-28,USD,1.0,local
10000446,,2025-01-28,USD,1.0,local
10000447,,2025-01-31,USD,1.0,local
10000448,,2025-01-31,USD,1.0,local
10000449,,2025-01-31,USD,1.0,local
10000450,,2025-01-31,USD,1.0,local
10000451,,2025-01-31,USD,1.0,local
10000452,,2025-02-03,USD,1.0,local
10000453,,2025-02-03,USD,1.0,local
10000454,,2025-02-03,USD,1.0,local
10000455,,2025-02-03,USD,1.0,local
10000456,,2025-02-04,USD,1.0,local
10000457,,2025-02-05,USD,1.0,local
10000457,,2025-02-06,USD,1.0,local
10000458,,2025-02-05,USD,1.0,local
10000459,,2025-02-05,USD,1.0,local
10000460,,2025-02-05,USD,1.0,local
10000461,,2025-02-05,USD,1.0,local
10000462,,2025-02-06,USD,1.0,local
10000463,,2025-02-07,USD,1.0,local
10000464,,2025-02-07,USD,1.0,local
10000465,,2025-02-10,USD,1.0,local
10000466,,2025-02-10,USD,1.0,local
10000467,,2025-02-10,USD,1.0,local
10000468,,2025-02-10,USD,1.0,local
10000469,,2025-02-10,USD,1.0,local
10000470,,2025-02-10,USD,1.0,local
10000471,,2025-02-10,USD,1.0,local
10000472,,2025-02-11,USD,1.0,local
10000473,,2025-02-11,USD,1.0,local
10000474,,2025-02-12,USD,1.0,local
10000475,,2025-02-12,USD,1.0,local
10000476,,2025-02-12,USD,1.0,local
10000477,,2025-02-12,USD,1.0,local
10000478,,2025-02-13,USD,1.0,local
10000479,,2025-02-13,USD,1.0,local
10000480,,2025-02-13,USD,1.0,local
10000481,,2025-02-13,USD,1.0,local
10000482,,2025-02-13,USD,1.0,local
10000483,,2025-02-13,USD,1.0,local
10000484,,2025-02-13,USD,1.0,local
10000485,,2025-02-13,USD,1.0,local
10000486,,2025-02-15,USD,1.0,local
10000487,,2025-02-17,USD,1.0,local
10000488,,2025-02-17,USD,1.0,local
10000489,,2025-02-17,USD,1.0,local
10000490,,2025-02-15,USD,1.0,local
10000491,,2025-02-17,USD,1.0,local
10000492,,2025-02-17,USD,1.0,local
10000493,,2025-02-17,USD,1.0,local
10000494,,2025-02-17,USD,1.0,local
10000495,,2025-02-17,USD,1.0,local
10000496,,2025-02-18,USD,1.0,local
10000497,,2025-02-18,USD,1.0,local
10000498,,2025-02-18,USD,1.0,local
10000499,,2025-02-18,USD,1.0,local
10000500,,2025-02-18,USD,1.0,local
10000501,,2025-02-18,USD,1.0,local
10000502,,2025-02-18,USD,1.0,local
10000503,,2025-02-18,USD,1.0,local
10000504,,2025-02-18,USD,1.0,local
10000505,,2025-02-18,USD,1.0,local
10000506,,2025-02-18,USD,1.0,local
10000507,,2025-02-18,USD,1.0,local
10000508,,2025-02-18,USD,1.0,local
10000509,,2025-02-18,USD,1.0,local
10000510,,2025-02-18,USD,1.0,local
10000511,,2025-02-18,USD,1.0,local
10000512,,2025-02-18,USD,1.0,local
10000513,,2025-02-18,USD,1.0,local
10000514,,2025-02-18,USD,1.0,local
10000515,,2025-02-19,USD,1.0,local
10000516,,2025-02-19,USD,1.0,local
10000517,,2025-02-19,USD,1.0,local
10000518,,2025-02-19,USD,1.0,local
10000519,,2025-02-20,USD,1.0,local
10000520,,2025-02-20,USD,1.0,local
10000521,,2025-02-20,USD,1.0,local
10000522,,2025-02-20,USD,1.0,local
10000523,,2025-02-20,USD,1.0,local
10000524,,2025-02-20,USD,1.0,local
10000525,,2025-02-20,USD,1.0,local
10000526,,2025-02-20,USD,1.0,local
10000527,,2025-02-22,USD,1.0,local
10000528,,2025-02-22,USD,1.0,local
10000529,,2025-02-22,USD,1.0,local
10000530,,2025-02-22,USD,1.0,local
10000531,,2025-02-22,USD,1.0,local
10000532,,2025-04-10,USD,1.0,local
10000533,,2025-02-24,USD,1.0,local
10000534,,2025-02-24,USD,1.0,local
10000535,,2025-02-24,USD,1.0,local
10000536,,2025-02-24,USD,1.0,local
10000537,,2025-02-24,USD,1.0,local
10000538,,2025-02-24,USD,1.0,local
10000539,,2025-02-24,USD,1.0,local
10000540,,2025-02-26,USD,1.0,local
10000541,,2025-02-27,USD,1.0,local
10000542,,2025-02-27,USD,1.0,local
10000543,,2025-02-28,USD,1.0,local
10000544,,2025-02-27,USD,1.0,local
10000545,,2025-02-27,USD,1.0,local
10000546,,2025-02-27,USD,1.0,local
10000547,,2025-02-27,USD,1.0,local
10000548,,2025-02-27,USD,1.0,local
10000549,,2025-02-27,USD,1.0,local
10000550,,2025-02-28,USD,1.0,local
10000551,,2025-02-28,USD,1.0,local
10000552,,2025-02-28,USD,1.0,local
10000553,,2025-02-28,USD,1.0,local
10000554,,2025-02-28,USD,1.0,local
10000555,,2025-02-28,USD,1.0,local
10000556,,2025-02-28,USD,1.0,local
10000557,,2025-02-28,USD,1.0,local
10000558,,2025-02-28,USD,1.0,local
10000559,,2025-03-01,USD,1.0,local
10000560,,2025-03-01,USD,1.0,local
10000561,,2025-03-01,USD,1.0,local
10000562,,2025-03-01,USD,1.0,local
10000563,,2025-03-01,USD,1.0,local
10000564,,2025-03-01,USD,1.0,local
10000565,,2025-03-06,USD,1.0,local
10000566,,2025-03-06,USD,1.0,local
10000567,,2025-03-06,USD,1.0,local
10000568,,2025-03-06,USD,1.0,local
10000569,,2025-03-07,USD,1.0,local
10000570,,2025-03-07,USD,1.0,local
10000571,,2025-03-08,USD,1.0,local
10000572,,2025-03-08,USD,1.0,local
10000573,,2025-03-08,USD,1.0,local
10000574,,2025-03-08,USD,1.0,local
10000575,,2025-03-08,USD,1.0,local
10000576,,2025-03-08,USD,1.0,local
10000577,,2025-03-08,USD,1.0,local
10000578,,2025-03-08,USD,1.0,local
10000579,,2025-03-08,USD,1.0,local
10000580,,2025-03-08,USD,1.0,local
10000581,,2025-03-08,USD,1.0,local
10000582,,2025-03-10,USD,1.0,local
10000583,,2025-03-10,USD,1.0,local
10000584,,2025-03-10,USD,1.0,local
10000585,,2025-03-11,USD,1.0,local
10000586,,2025-03-11,USD,1.0,local
10000587,,2025-03-11,USD,1.0,local
10000588,,2025-03-12,USD,1.0,local
10000589,,2025-03-11,USD,1.0,local
10000590,,2025-03-12,USD,1.0,local
10000591,,2025-03-18,USD,1.0,local
10000592,,2025-03-13,USD,1.0,local
10000593,,2025-03-13,USD,1.0,local
10000594,,2025-03-13,USD,1.0,local
10000595,,2025-03-13,USD,1.0,local
10000596,,2025-03-13,USD,1.0,local
10000597,,2025-03-15,USD,1.0,local
10000598,,2025-03-15,USD,1.0,local
10000599,,2025-03-15,USD,1.0,local
10000600,,2025-03-15,USD,1.0,local
10000601,,2025-03-17,USD,1.0,local
10000602,,2025-03-15,USD,1.0,local
10000603,,2025-03-15,USD,1.0,local
10000604,,2025-03-17,USD,1.0,local
10000605,,2025-03-17,USD,1.0,local
10000606,,2025-03-17,USD,1.0,local
10000607,,2025-03-17,USD,1.0,local
10000608,,2025-03-18,USD,1.0,local
10000609,,2025-03-17,USD,1.0,local
10000610,,2025-03-18,USD,1.0,local
10000611,,2025-03-18,USD,1.0,local
10000612,,2025-03-17,USD,1.0,local
10000613,,2025-03-19,USD,1.0,local
10000614,,2025-03-19,USD,1.0,local
10000615,,2025-03-20,USD,1.0,local
10000616,,2025-03-20,USD,1.0,local
10000617,,2025-03-20,USD,1.0,local
10000618,,2025-03-21,USD,1.0,local
10000619,,2025-03-24,USD,1.0,local
10000620,,2025-03-24,USD,1.0,local
10000621,,2025-03-24,USD,1.0,local
10000622,,2025-03-24,USD,1.0,local
10000623,,2025-03-25,USD,1.0,local
10000624,,2025-03-25,USD,1.0,local
10000625,,2025-03-27,USD,1.0,local
10000626,,2025-03-27,USD,1.0,local
10000627,,2025-03-28,USD,1.0,local
10000628,,2025-03-29,USD,1.0,local
10000629,,2025-03-29,USD,1.0,local
10000630,,2025-03-29,USD,1.0,local
10000631,,2025-03-31,USD,1.0,local
10000632,,2025-04-02,USD,1.0,local
10000633,,2025-04-02,USD,1.0,local
10000634,,2025-04-02,USD,1.0,local
10000635,,2025-04-02,USD,1.0,local
10000636,,2025-04-21,USD,1.0,local
10000637,,2025-04-08,USD,1.0,local
10000638,,2025-04-08,USD,1.0,local
10000639,,2025-04-08,USD,1.0,local
10000640,,2025-04-08,USD,1.0,local
10000641,,2025-04-08,USD,1.0,local
10000642,,2025-04-08,USD,1.0,local
10000643,,2025-04-08,USD,1.0,local
10000644,,2025-04-08,USD,1.0,local
10000645,,2025-04-08,USD,1.0,local
10000646,,2025-04-08,USD,1.0,local
10000647,,2025-04-08,USD,1.0,local
10000648,,2025-04-08,USD,1.0,local
10000649,,2025-04-08,USD,1.0,local
10000650,,2025-04-08,USD,1.0,local
10000651,,2025-04-08,USD,1.0,local
10000652,,2025-04-10,USD,1.0,local
10000653,,2025-04-08,USD,1.0,local
10000654,,2025-04-10,USD,1.0,local
10000655,,2025-04-10,USD,1.0,local
10000656,,2025-04-10,USD,1.0,local
10000657,,2025-04-10,USD,1.0,local
10000658,,2025-04-10,USD,1.0,local
10000659,,2025-04-10,USD,1.0,local
10000659,,2025-04-11,USD,1.0,local
10000659,,2025-04-12,USD,1.0,local
10000659,,2025-04-13,USD,1.0,local
10000660,,2025-04-14,USD,1.0,local
10000661,,2025-04-10,USD,1.0,local
10000662,,2025-04-14,USD,1.0,local
10000663,,2025-04-14,USD,1.0,local
10000664,,2025-04-16,USD,1.0,local
10000665,,2025-04-16,USD,1.0,local
10000666,,2025-04-16,USD,1.0,local
10000667,,2025-04-16,USD,1.0,local
10000668,,2025-04-16,USD,1.0,local
10000669,,2025-04-21,USD,1.0,local
10000670,,2025-04-22,USD,1.0,local
10000671,,2025-04-21,USD,1.0,local
10000672,,2025-04-21,USD,1.0,local
10000673,,2025-04-22,USD,1.0,local
10000674,,2025-04-23,USD,1.0,local
10000675,,2025-04-24,USD,1.0,local
10000676,,2025-04-25,USD,1.0,local
10000677,,2025-04-26,USD,1.0,local
10000678,,2025-04-28,USD,1.0,local
10000679,,2025-04-28,USD,1.0,local
10000680,,2025-04-28,USD,1.0,local
10000681,,2025-04-28,USD,1.0,local
10000682,,2025-04-30,USD,1.0,local
10000683,,2025-04-30,USD,1.0,local
10000684,,2025-04-30,USD,1.0,local
10000685,,2025-04-30,USD,1.0,local
10000686,,2025-04-30,USD,1.0,local
10000687,,2025-04-30,USD,1.0,local
10000688,,2025-04-30,USD,1.0,local
10000689,,2025-05-05,USD,1.0,local
10000690,,2025-05-05,USD,1.0,local
10000691,,2025-05-05,USD,1.0,local
10000692,,2025-05-05,USD,1.0,local
10000693,,2025-05-06,USD,1.0,local
10000694,,2025-05-05,USD,1.0,local
10000695,,2025-05-05,USD,1.0,local
10000696,,2025-05-05,USD,1.0,local
10000696,,2025-05-01,USD,1.0,local
10000697,,2025-05-05,USD,1.0,local
10000698,,2025-05-05,USD,1.0,local
10000699,,2025-05-05,USD,1.0,local
10000700,,2025-05-05,USD,1.0,local
10000701,,2025-05-05,USD,1.0,local
10000702,,2025-05-05,USD,1.0,local
10000703,,2025-05-05,USD,1.0,local
10000704,,2025-05-07,USD,1.0,local
10000705,,2025-05-07,USD,1.0,local
10000706,,2025-05-07,USD,1.0,local
10000707,,2025-05-07,USD,1.0,local
10000708,,2025-05-07,USD,1.0,local
10000709,,2025-05-07,USD,1.0,local
10000710,,2025-05-07,USD,1.0,local
10000711,,2025-05-08,USD,1.0,local
10000712,,2025-05-07,USD,1.0,local
10000713,,2025-05-07,USD,1.0,local
10000714,,2025-05-09,USD,1.0,local
10000715,,2025-05-09,USD,1.0,local
10000716,,2025-05-09,USD,1.0,local
10000717,,2025-05-12,USD,1.0,local
10000718,,2025-05-14,USD,1.0,local
10000719,,2025-05-13,USD,1.0,local
10000720,,2025-05-14,USD,1.0,local
10000721,,2025-05-07,USD,1.0,local
10000722,,2025-05-14,USD,1.0,local
10000723,,2025-05-07,USD,1.0,local
10000724,,2025-05-07,USD,1.0,local
10000725,,2025-05-14,USD,1.0,local
10000726,,2025-05-15,USD,1.0,local
10000727,,2025-05-15,USD,1.0,local
10000728,,2025-05-15,USD,1.0,local
10000729,,2025-05-15,USD,1.0,local
10000730,,2025-05-16,USD,1.0,local
10000731,,2025-05-19,USD,1.0,local
10000732,,2025-05-19,USD,1.0,local
10000733,,2025-05-19,USD,1.0,local
10000734,,2025-05-19,USD,1.0,local
10000735,,2025-05-19,USD,1.0,local
10000736,,2025-05-19,USD,1.0,local
10000737,,2025-05-20,USD,1.0,local
10000738,,2025-05-21,USD,1.0,local
10000739,,2025-05-19,USD,1.0,local
10000740,,2025-05-20,USD,1.0,local
10000741,,2025-05-20,USD,1.0,local
10000742,,2025-04-07,USD,1.0,local
10000743,,2025-04-24,USD,1.0,local
10000744,,2025-05-21,USD,1.0,local
10000745,,2025-04-24,USD,1.0,local
10000746,,2025-05-06,USD,1.0,local
10000747,,2025-05-23,USD,1.0,local
10000748,,2025-05-25,USD,1.0,local
10000749,,2025-05-23,USD,1.0,local
10000750,,2025-05-23,USD,1.0,local
10000751,,2025-05-23,USD,1.0,local
10000752,,2025-05-27,USD,1.0,local
10000753,,2025-05-27,USD,1.0,local
10000754,,2025-05-27,USD,1.0,local
10000755,,2025-05-27,USD,1.0,local
10000756,,2025-05-27,USD,1.0,local
10000757,,2025-05-28,USD,1.0,local
10000758,,2025-05-28,USD,1.0,local
10000759,,2025-05-14,USD,1.0,local
10000760,,2025-05-14,USD,1.0,local
10000761,,2025-05-30,USD,1.0,local
10000762,,2025-05-30,USD,1.0,local
10000763,,2025-06-02,USD,1.0,local
10000764,,2025-06-02,USD,1.0,local
10000765,,2025-06-02,USD,1.0,local
10000766,,2025-06-04,USD,1.0,local
10000767,,2025-06-04,USD,1.0,local
10000768,,2025-06-04,USD,1.0,local
10000769,,2025-06-03,USD,1.0,local
10000770,,2025-06-04,USD,1.0,local
10000771,,2025-06-04,USD,1.0,local
10000772,,2025-04-22,USD,1.0,local
10000773,,2025-05-15,USD,1.0,local
10000774,,2025-06-04,USD,1.0,local
10000775,,2025-05-26,USD,1.0,local
10000776,,2025-05-13,USD,1.0,local
10000777,,2025-04-24,USD,1.0,local
10000778,,2025-04-30,USD,1.0,local
10000779,,2025-05-14,USD,1.0,local
10000780,,2025-06-05,USD,1.0,local
10000781,,2025-06-05,USD,1.0,local
10000782,,2025-05-15,USD,1.0,local
10000783,,2025-05-07,USD,1.0,local
10000784,,2025-04-24,USD,1.0,local
10000785,,2025-05-07,USD,1.0,local
10000786,,2025-05-15,USD,1.0,local
10000787,,2025-05-15,USD,1.0,local
10000788,,2025-06-05,USD,1.0,local
10000789,,2025-05-23,USD,1.0,local
10000790,,2025-05-16,USD,1.0,local
10000791,,2025-05-15,USD,1.0,local
10000792,,2025-05-15,USD,1.0,local
10000793,,2025-05-04,USD,1.0,local
10000794,,2025-05-09,USD,1.0,local
10000795,,2025-05-05,USD,1.0,local
10000796,,2025-05-14,USD,1.0,local
10000797,,2025-06-02,USD,1.0,local
10000798,,2025-06-09,USD,1.0,local
10000799,,2025-06-09,USD,1.0,local
10000800,,2025-06-10,USD,1.0,local
10000801,,2025-06-02,USD,1.0,local
10000802,,2025-06-10,USD,1.0,local
10000803,,2025-06-11,USD,1.0,local
10000803,,2025-06-10,USD,1.0,local
10000804,,2025-06-11,USD,1.0,local
10000805,,2025-06-11,USD,1.0,local
10000806,,2025-06-11,USD,1.0,local
10000807,,2025-06-12,USD,1.0,local
10000808,,2025-06-13,USD,1.0,local
10000809,,2025-06-13,USD,1.0,local
10000810,,2025-06-13,USD,1.0,local
10000811,,2025-06-13,USD,1.0,local
10000812,,2025-06-16,USD,1.0,local
10000813,,2025-06-16,USD,1.0,local
10000814,,2025-06-16,USD,1.0,local
10000815,,2025-06-16,USD,1.0,local
10000816,,2025-06-16,USD,1.0,local
10000817,,2025-06-16,USD,1.0,local
10000818,,2025-06-17,USD,1.0,local
10000819,,2025-06-17,USD,1.0,local
10000820,,2025-06-18,USD,1.0,local
10000821,,2025-06-18,USD,1.0,local
10000822,,2025-06-18,USD,1.0,local
10000823,,2025-06-19,USD,1.0,local
10000824,,2025-06-19,USD,1.0,local
10000825,,2025-06-20,USD,1.0,local
10000826,,2025-06-20,USD,1.0,local
10000827,,2025-06-17,USD,1.0,local
10000828,,2025-05-08,USD,1.0,local
10000829,,2025-06-23,USD,1.0,local
10000830,,2025-06-23,USD,1.0,local
10000831,,2025-06-23,USD,1.0,local
10000832,,2025-06-23,USD,1.0,local
10000833,,2025-06-24,USD,1.0,local
10000834,,2025-06-24,USD,1.0,local
10000835,,2025-06-24,USD,1.0,local
10000836,,2025-06-25,USD,1.0,local
10000837,,2025-06-25,USD,1.0,local
10000838,,2025-06-25,USD,1.0,local
10000839,,2025-06-26,USD,1.0,local
10000840,,2025-06-26,USD,1.0,local
10000841,,2025-06-24,USD,1.0,local
10000842,,2025-06-30,USD,1.0,local
10000843,,2025-06-30,USD,1.0,local
10000844,,2025-06-30,USD,1.0,local
10000845,,2025-06-30,USD,1.0,local
10000846,,2025-07-01,USD,1.0,local
10000847,,2025-07-01,USD,1.0,local
10000848,,2025-07-01,USD,1.0,local
10000849,,2025-07-02,USD,1.0,local
10000850,,2025-07-03,USD,1.0,local
10000851,,2025-07-03,USD,1.0,local
10000852,,2025-05-02,USD,1.0,local
10000853,,2025-06-02,USD,1.0,local
10000854,,2025-07-03,USD,1.0,local
10000855,,2025-07-03,USD,1.0,local
10000856,,2025-07-04,USD,1.0,local
10000857,,2025-07-04,USD,1.0,local
10000858,,2025-07-04,USD,1.0,local
10000859,,2025-07-07,USD,1.0,local
10000860,,2025-07-07,USD,1.0,local
10000861,,2025-07-07,USD,1.0,local
10000862,,2025-07-07,USD,1.0,local
10000863,,2025-07-08,USD,1.0,local
10000864,,2025-07-07,USD,1.0,local
10000865,,2025-07-07,USD,1.0,local
10000866,,2025-07-07,USD,1.0,local
10000867,,2025-07-08,USD,1.0,local
10000868,,2025-07-08,USD,1.0,local
10000869,,2025-05-05,USD,1.0,local
10000870,,2025-07-07,USD,1.0,local
10000871,,2025-07-07,USD,1.0,local
10000872,,2025-07-09,USD,1.0,local
10000873,,2025-07-10,USD,1.0,local
10000874,,2025-07-10,USD,1.0,local
10000875,,2025-07-10,USD,1.0,local
10000876,,2025-07-11,USD,1.0,local
10000877,,2025-07-11,USD,1.0,local
10000878,,2025-07-11,USD,1.0,local
10000879,,2025-07-11,USD,1.0,local
10000880,,2025-07-11,USD,1.0,local
10000881,,2025-07-11,USD,1.0,local
10000882,,2025-07-11,USD,1.0,local
10000883,,2025-07-14,USD,1.0,local
10000884,,2025-07-14,USD,1.0,local
10000885,,2025-07-14,USD,1.0,local
10000886,,2025-07-14,USD,1.0,local
10000887,,2025-07-14,USD,1.0,local
10000888,,2025-07-16,USD,1.0,local
10000889,,2025-07-17,USD,1.0,local
10000890,,2025-07-17,USD,1.0,local
10000891,,2025-07-18,USD,1.0,local
10000892,,2025-07-18,USD,1.0,local
10000893,,2025-07-18,USD,1.0,local
10000894,,2025-07-18,USD,1.0,local
10000896,,2025-07-23,USD,1.0,local
10000897,,2025-07-25,USD,1.0,local
10000899,,2025-07-25,USD,1.0,local
10000900,,2025-07-14,USD,1.0,local
10000901,,2025-07-30,USD,1.0,local
10000902,,2025-07-31,USD,1.0,local
10000902,,2025-08-19,USD,1.0,local
10000903,,2025-08-07,USD,1.0,local
10000904,,2025-08-07,USD,1.0,local
10000905,,2025-08-08,USD,1.0,local
10000906,,2025-08-08,USD,1.0,local
10000907,,2025-08-08,USD,1.0,local
10000908,,2025-08-11,USD,1.0,local
10000909,,2025-07-17,USD,1.0,local
10000910,,2025-08-12,USD,1.0,local
10000911,,2025-08-13,USD,1.0,local
10000912,,2025-08-14,USD,1.0,local
10000913,,2025-08-18,USD,1.0,local
10000914,,2025-08-18,USD,1.0,local
10000915,,2025-08-18,USD,1.0,local
10000916,,2025-08-18,USD,1.0,local
,,2025-11-06,USD,1.0,local
