po_number,project,issue_date,initial_delivery_date,final_delivery_date,currency,exchange_rate,local_import,te,forma_pago,pagar_a,guide_number,guide_date,observations,po_status,total_amount
10000534,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000535,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000536,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000537,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000538,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000539,,2025-02-24,2025-02-24,2025-02-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000540,,2025-02-26,2025-02-26,2025-02-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000541,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000542,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000543,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000544,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000545,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000546,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000547,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000548,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000549,,2025-02-27,2025-02-27,2025-02-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000550,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000551,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000552,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000553,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000554,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000555,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000556,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000557,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000558,,2025-02-28,2025-02-28,2025-02-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000559,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000560,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000561,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000562,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000563,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000564,,2025-03-01,2025-03-01,2025-03-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000565,,2025-03-06,2025-03-06,2025-03-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000566,,2025-03-06,2025-03-06,2025-03-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000567,,2025-03-06,2025-03-06,2025-03-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000568,,2025-03-06,2025-03-06,2025-03-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000569,,2025-03-07,2025-03-07,2025-03-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000570,,2025-03-07,2025-03-07,2025-03-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000571,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000572,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000573,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000574,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000575,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000576,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000577,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000578,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000579,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000580,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000581,,2025-03-08,2025-03-08,2025-03-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000582,,2025-03-10,2025-03-10,2025-03-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000583,,2025-03-10,2025-03-10,2025-03-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000584,,2025-03-10,2025-03-10,2025-03-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000585,,2025-03-11,2025-03-11,2025-03-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000586,,2025-03-11,2025-03-11,2025-03-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000587,,2025-03-11,2025-03-11,2025-03-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000588,,2025-03-12,2025-03-12,2025-03-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000589,,2025-03-11,2025-03-11,2025-03-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000590,,2025-03-12,2025-03-12,2025-03-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000591,,2025-03-18,2025-03-18,2025-03-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000592,,2025-03-13,2025-03-13,2025-03-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000593,,2025-03-13,2025-03-13,2025-03-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000594,,2025-03-13,2025-03-13,2025-03-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000595,,2025-03-13,2025-03-13,2025-03-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000596,,2025-03-13,2025-03-13,2025-03-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000597,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000598,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000599,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000600,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000601,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000602,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000603,,2025-03-15,2025-03-15,2025-03-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000604,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000605,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000606,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000607,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000608,,2025-03-18,2025-03-18,2025-03-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000609,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000610,,2025-03-18,2025-03-18,2025-03-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000611,,2025-03-18,2025-03-18,2025-03-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000612,,2025-03-17,2025-03-17,2025-03-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000613,,2025-03-19,2025-03-19,2025-03-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000614,,2025-03-19,2025-03-19,2025-03-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000615,,2025-03-20,2025-03-20,2025-03-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000616,,2025-03-20,2025-03-20,2025-03-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000617,,2025-03-20,2025-03-20,2025-03-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000618,,2025-03-21,2025-03-21,2025-03-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000619,,2025-03-24,2025-03-24,2025-03-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000620,,2025-03-24,2025-03-24,2025-03-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000621,,2025-03-24,2025-03-24,2025-03-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000622,,2025-03-24,2025-03-24,2025-03-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000623,,2025-03-25,2025-03-25,2025-03-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000624,,2025-03-25,2025-03-25,2025-03-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000625,,2025-03-27,2025-03-27,2025-03-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000626,,2025-03-27,2025-03-27,2025-03-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000627,,2025-03-28,2025-03-28,2025-03-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000628,,2025-03-29,2025-03-29,2025-03-29,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000629,,2025-03-29,2025-03-29,2025-03-29,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000630,,2025-03-29,2025-03-29,2025-03-29,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000631,,2025-03-31,2025-03-31,2025-03-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000632,,2025-04-02,2025-04-02,2025-04-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000633,,2025-04-02,2025-04-02,2025-04-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000634,,2025-04-02,2025-04-02,2025-04-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000635,,2025-04-02,2025-04-02,2025-04-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000636,,2025-04-21,2025-04-21,2025-04-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000637,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000638,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000639,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000640,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000641,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000642,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000643,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000644,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000645,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000646,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000647,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000648,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000649,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000650,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000651,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000652,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000653,,2025-04-08,2025-04-08,2025-04-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000654,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000655,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000656,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000657,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000658,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000659,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000659,,2025-04-11,2025-04-11,2025-04-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000659,,2025-04-12,2025-04-12,2025-04-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000659,,2025-04-13,2025-04-13,2025-04-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000660,,2025-04-14,2025-04-14,2025-04-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000661,,2025-04-10,2025-04-10,2025-04-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000662,,2025-04-14,2025-04-14,2025-04-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000663,,2025-04-14,2025-04-14,2025-04-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000664,,2025-04-16,2025-04-16,2025-04-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000665,,2025-04-16,2025-04-16,2025-04-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000666,,2025-04-16,2025-04-16,2025-04-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000667,,2025-04-16,2025-04-16,2025-04-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000668,,2025-04-16,2025-04-16,2025-04-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000669,,2025-04-21,2025-04-21,2025-04-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000670,,2025-04-22,2025-04-22,2025-04-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000671,,2025-04-21,2025-04-21,2025-04-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000672,,2025-04-21,2025-04-21,2025-04-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000673,,2025-04-22,2025-04-22,2025-04-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000674,,2025-04-23,2025-04-23,2025-04-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000675,,2025-04-24,2025-04-24,2025-04-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000676,,2025-04-25,2025-04-25,2025-04-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000677,,2025-04-26,2025-04-26,2025-04-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000678,,2025-04-28,2025-04-28,2025-04-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000679,,2025-04-28,2025-04-28,2025-04-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000680,,2025-04-28,2025-04-28,2025-04-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000681,,2025-04-28,2025-04-28,2025-04-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000682,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000683,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000684,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000685,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000686,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000687,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000688,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000689,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000690,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000691,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000692,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000693,,2025-05-06,2025-05-06,2025-05-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000694,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000695,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000696,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000696,,2025-05-01,2025-05-01,2025-05-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000697,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000698,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000699,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000700,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000701,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000702,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000703,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000704,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000705,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000706,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000707,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000708,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000709,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000710,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000711,,2025-05-08,2025-05-08,2025-05-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000712,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000713,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000714,,2025-05-09,2025-05-09,2025-05-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000715,,2025-05-09,2025-05-09,2025-05-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000716,,2025-05-09,2025-05-09,2025-05-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000717,,2025-05-12,2025-05-12,2025-05-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000718,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000719,,2025-05-13,2025-05-13,2025-05-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000720,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000721,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000722,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
