po_number,project,issue_date,initial_delivery_date,final_delivery_date,currency,exchange_rate,local_import,te,forma_pago,pagar_a,guide_number,guide_date,observations,po_status,total_amount
10000723,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000724,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000725,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000726,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000727,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000728,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000729,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000730,,2025-05-16,2025-05-16,2025-05-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000731,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000732,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000733,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000734,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000735,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000736,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000737,,2025-05-20,2025-05-20,2025-05-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000738,,2025-05-21,2025-05-21,2025-05-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000739,,2025-05-19,2025-05-19,2025-05-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000740,,2025-05-20,2025-05-20,2025-05-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000741,,2025-05-20,2025-05-20,2025-05-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000742,,2025-04-07,2025-04-07,2025-04-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000743,,2025-04-24,2025-04-24,2025-04-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000744,,2025-05-21,2025-05-21,2025-05-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000745,,2025-04-24,2025-04-24,2025-04-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000746,,2025-05-06,2025-05-06,2025-05-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000747,,2025-05-23,2025-05-23,2025-05-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000748,,2025-05-25,2025-05-25,2025-05-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000749,,2025-05-23,2025-05-23,2025-05-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000750,,2025-05-23,2025-05-23,2025-05-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000751,,2025-05-23,2025-05-23,2025-05-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000752,,2025-05-27,2025-05-27,2025-05-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000753,,2025-05-27,2025-05-27,2025-05-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000754,,2025-05-27,2025-05-27,2025-05-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000755,,2025-05-27,2025-05-27,2025-05-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000756,,2025-05-27,2025-05-27,2025-05-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000757,,2025-05-28,2025-05-28,2025-05-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000758,,2025-05-28,2025-05-28,2025-05-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000759,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000760,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000761,,2025-05-30,2025-05-30,2025-05-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000762,,2025-05-30,2025-05-30,2025-05-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000763,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000764,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000765,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000766,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000767,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000768,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000769,,2025-06-03,2025-06-03,2025-06-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000770,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000771,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000772,,2025-04-22,2025-04-22,2025-04-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000773,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000774,,2025-06-04,2025-06-04,2025-06-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000775,,2025-05-26,2025-05-26,2025-05-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000776,,2025-05-13,2025-05-13,2025-05-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000777,,2025-04-24,2025-04-24,2025-04-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000778,,2025-04-30,2025-04-30,2025-04-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000779,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000780,,2025-06-05,2025-06-05,2025-06-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000781,,2025-06-05,2025-06-05,2025-06-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000782,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000783,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000784,,2025-04-24,2025-04-24,2025-04-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000785,,2025-05-07,2025-05-07,2025-05-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000786,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000787,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000788,,2025-06-05,2025-06-05,2025-06-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000789,,2025-05-23,2025-05-23,2025-05-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000790,,2025-05-16,2025-05-16,2025-05-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000791,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000792,,2025-05-15,2025-05-15,2025-05-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000793,,2025-05-04,2025-05-04,2025-05-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000794,,2025-05-09,2025-05-09,2025-05-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000795,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000796,,2025-05-14,2025-05-14,2025-05-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000797,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000798,,2025-06-09,2025-06-09,2025-06-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000799,,2025-06-09,2025-06-09,2025-06-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000800,,2025-06-10,2025-06-10,2025-06-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000801,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000802,,2025-06-10,2025-06-10,2025-06-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000803,,2025-06-11,2025-06-11,2025-06-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000803,,2025-06-10,2025-06-10,2025-06-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000804,,2025-06-11,2025-06-11,2025-06-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000805,,2025-06-11,2025-06-11,2025-06-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000806,,2025-06-11,2025-06-11,2025-06-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000807,,2025-06-12,2025-06-12,2025-06-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000808,,2025-06-13,2025-06-13,2025-06-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000809,,2025-06-13,2025-06-13,2025-06-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000810,,2025-06-13,2025-06-13,2025-06-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000811,,2025-06-13,2025-06-13,2025-06-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000812,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000813,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000814,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000815,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000816,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000817,,2025-06-16,2025-06-16,2025-06-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000818,,2025-06-17,2025-06-17,2025-06-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000819,,2025-06-17,2025-06-17,2025-06-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000820,,2025-06-18,2025-06-18,2025-06-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000821,,2025-06-18,2025-06-18,2025-06-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000822,,2025-06-18,2025-06-18,2025-06-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000823,,2025-06-19,2025-06-19,2025-06-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000824,,2025-06-19,2025-06-19,2025-06-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000825,,2025-06-20,2025-06-20,2025-06-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000826,,2025-06-20,2025-06-20,2025-06-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000827,,2025-06-17,2025-06-17,2025-06-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000828,,2025-05-08,2025-05-08,2025-05-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000829,,2025-06-23,2025-06-23,2025-06-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000830,,2025-06-23,2025-06-23,2025-06-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000831,,2025-06-23,2025-06-23,2025-06-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000832,,2025-06-23,2025-06-23,2025-06-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000833,,2025-06-24,2025-06-24,2025-06-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000834,,2025-06-24,2025-06-24,2025-06-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000835,,2025-06-24,2025-06-24,2025-06-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000836,,2025-06-25,2025-06-25,2025-06-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000837,,2025-06-25,2025-06-25,2025-06-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000838,,2025-06-25,2025-06-25,2025-06-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000839,,2025-06-26,2025-06-26,2025-06-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000840,,2025-06-26,2025-06-26,2025-06-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000841,,2025-06-24,2025-06-24,2025-06-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000842,,2025-06-30,2025-06-30,2025-06-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000843,,2025-06-30,2025-06-30,2025-06-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000844,,2025-06-30,2025-06-30,2025-06-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000845,,2025-06-30,2025-06-30,2025-06-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000846,,2025-07-01,2025-07-01,2025-07-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000847,,2025-07-01,2025-07-01,2025-07-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000848,,2025-07-01,2025-07-01,2025-07-01,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000849,,2025-07-02,2025-07-02,2025-07-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000850,,2025-07-03,2025-07-03,2025-07-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000851,,2025-07-03,2025-07-03,2025-07-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000852,,2025-05-02,2025-05-02,2025-05-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000853,,2025-06-02,2025-06-02,2025-06-02,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000854,,2025-07-03,2025-07-03,2025-07-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000855,,2025-07-03,2025-07-03,2025-07-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000856,,2025-07-04,2025-07-04,2025-07-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000857,,2025-07-04,2025-07-04,2025-07-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000858,,2025-07-04,2025-07-04,2025-07-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000859,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000860,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000861,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000862,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000863,,2025-07-08,2025-07-08,2025-07-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000864,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000865,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000866,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000867,,2025-07-08,2025-07-08,2025-07-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000868,,2025-07-08,2025-07-08,2025-07-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000869,,2025-05-05,2025-05-05,2025-05-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000870,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000871,,2025-07-07,2025-07-07,2025-07-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000872,,2025-07-09,2025-07-09,2025-07-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000873,,2025-07-10,2025-07-10,2025-07-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000874,,2025-07-10,2025-07-10,2025-07-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000875,,2025-07-10,2025-07-10,2025-07-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000876,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000877,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000878,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000879,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000880,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000881,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000882,,2025-07-11,2025-07-11,2025-07-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000883,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000884,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000885,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000886,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000887,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000888,,2025-07-16,2025-07-16,2025-07-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000889,,2025-07-17,2025-07-17,2025-07-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000890,,2025-07-17,2025-07-17,2025-07-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000891,,2025-07-18,2025-07-18,2025-07-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000892,,2025-07-18,2025-07-18,2025-07-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000893,,2025-07-18,2025-07-18,2025-07-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000894,,2025-07-18,2025-07-18,2025-07-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000896,,2025-07-23,2025-07-23,2025-07-23,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000897,,2025-07-25,2025-07-25,2025-07-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000899,,2025-07-25,2025-07-25,2025-07-25,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000900,,2025-07-14,2025-07-14,2025-07-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000901,,2025-07-30,2025-07-30,2025-07-30,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000902,,2025-07-31,2025-07-31,2025-07-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000902,,2025-08-19,2025-08-19,2025-08-19,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000903,,2025-08-07,2025-08-07,2025-08-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000904,,2025-08-07,2025-08-07,2025-08-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000905,,2025-08-08,2025-08-08,2025-08-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000906,,2025-08-08,2025-08-08,2025-08-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000907,,2025-08-08,2025-08-08,2025-08-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000908,,2025-08-11,2025-08-11,2025-08-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000909,,2025-07-17,2025-07-17,2025-07-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000910,,2025-08-12,2025-08-12,2025-08-12,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000911,,2025-08-13,2025-08-13,2025-08-13,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000912,,2025-08-14,2025-08-14,2025-08-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000913,,2025-08-18,2025-08-18,2025-08-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000914,,2025-08-18,2025-08-18,2025-08-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000915,,2025-08-18,2025-08-18,2025-08-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000916,,2025-08-18,2025-08-18,2025-08-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
,,2025-11-06,2025-11-06,2025-11-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
